Monthly mean sea levels with the average seasonal cycle removed.
The values are in meters relative to the most recent Mean Sea Level datum established by CO-OPS.
Column values are the Year; Month; Monthly Mean; Relative Sea Level Trend Line; Higher 95% Confidence Interval; and Lower 95% Confidence Interval.
Product of NOAAs National Ocean Service / Center for Operational Oceanographic Products and Services (CO-OPS)

Year, Month, Monthly_MSL, Linear_Trend, High_Conf., Low_Conf.
1979,1,0.064,-0.037,-0.026,-0.048,
1979,2,0.005,-0.037,-0.026,-0.048,
1979,3,-0.065,-0.037,-0.026,-0.048,
1979,4,-0.035,-0.037,-0.026,-0.048,
1979,5,-0.087,-0.036,-0.025,-0.047,
1979,6,-0.074,-0.036,-0.025,-0.047,
1979,7,-0.060,-0.036,-0.025,-0.047,
1979,8,-0.039,-0.036,-0.025,-0.047,
1979,9,-0.055,-0.036,-0.025,-0.047,
1979,10,-0.043,-0.036,-0.025,-0.047,
1979,11,-0.109,-0.035,-0.024,-0.046,
1979,12,-0.089,-0.035,-0.024,-0.046,
1980,1,-0.091,-0.035,-0.024,-0.046,
1980,2,-0.032,-0.035,-0.024,-0.046,
1980,3,-0.083,-0.035,-0.024,-0.046,
1980,4,-0.060,-0.034,-0.023,-0.045,
1980,5,-0.014,-0.034,-0.023,-0.045,
1980,6,-0.044,-0.034,-0.023,-0.045,
1980,7,-0.044,-0.034,-0.024,-0.044,
1980,8,-0.014,-0.034,-0.024,-0.044,
1980,9,-0.046,-0.033,-0.023,-0.043,
1980,10,-0.050,-0.033,-0.023,-0.043,
1980,11,-0.027,-0.033,-0.023,-0.043,
1980,12,-0.068,-0.033,-0.023,-0.043,
1981,7,-0.021,-0.031,-0.021,-0.041,
1981,8,-0.057,-0.031,-0.021,-0.041,
1981,9,0.021,-0.031,-0.021,-0.041,
1981,10,-0.050,-0.031,-0.021,-0.041,
1981,11,0.019,-0.031,-0.021,-0.041,
1981,12,0.048,-0.030,-0.020,-0.040,
1982,1,-0.051,-0.030,-0.020,-0.040,
1982,2,-0.095,-0.030,-0.020,-0.040,
1982,3,-0.065,-0.030,-0.020,-0.040,
1982,4,-0.073,-0.030,-0.020,-0.040,
1982,5,-0.078,-0.029,-0.019,-0.039,
1982,6,-0.004,-0.029,-0.019,-0.039,
1982,7,-0.033,-0.029,-0.020,-0.038,
1982,8,-0.042,-0.029,-0.020,-0.038,
1982,9,-0.052,-0.029,-0.020,-0.038,
1982,10,0.008,-0.028,-0.019,-0.037,
1982,11,-0.069,-0.028,-0.019,-0.037,
1982,12,-0.031,-0.028,-0.019,-0.037,
1983,1,-0.039,-0.028,-0.019,-0.037,
1983,2,0.024,-0.028,-0.019,-0.037,
1983,3,0.054,-0.028,-0.019,-0.037,
1983,4,0.013,-0.027,-0.018,-0.036,
1983,5,-0.005,-0.027,-0.018,-0.036,
1983,6,-0.019,-0.027,-0.018,-0.036,
1983,7,0.019,-0.027,-0.018,-0.036,
1983,8,0.013,-0.027,-0.018,-0.036,
1983,9,0.006,-0.026,-0.017,-0.035,
1983,10,-0.004,-0.026,-0.017,-0.035,
1983,11,0.098,-0.026,-0.017,-0.035,
1983,12,0.024,-0.026,-0.017,-0.035,
1984,1,-0.054,-0.026,-0.017,-0.035,
1984,2,-0.010,-0.025,-0.016,-0.034,
1984,3,0.017,-0.025,-0.016,-0.034,
1984,4,0.056,-0.025,-0.016,-0.034,
1984,5,0.001,-0.025,-0.016,-0.034,
1984,6,-0.001,-0.025,-0.016,-0.034,
1984,7,-0.018,-0.024,-0.015,-0.033,
1984,8,-0.002,-0.024,-0.015,-0.033,
1984,9,-0.025,-0.024,-0.016,-0.032,
1984,10,-0.026,-0.024,-0.016,-0.032,
1984,11,0.037,-0.024,-0.016,-0.032,
1984,12,-0.052,-0.023,-0.015,-0.031,
1985,1,0.034,-0.023,-0.015,-0.031,
1985,2,-0.013,-0.023,-0.015,-0.031,
1985,3,-0.013,-0.023,-0.015,-0.031,
1985,4,-0.030,-0.023,-0.015,-0.031,
1985,5,0.007,-0.022,-0.014,-0.030,
1985,6,-0.004,-0.022,-0.014,-0.030,
1985,7,-0.008,-0.022,-0.014,-0.030,
1985,8,-0.021,-0.022,-0.014,-0.030,
1985,9,-0.019,-0.022,-0.014,-0.030,
1985,10,-0.044,-0.021,-0.013,-0.029,
1985,11,-0.027,-0.021,-0.013,-0.029,
1985,12,0.015,-0.021,-0.013,-0.029,
1986,1,-0.051,-0.021,-0.013,-0.029,
1986,2,0.014,-0.021,-0.013,-0.029,
1986,3,-0.040,-0.021,-0.013,-0.029,
1986,4,0.028,-0.020,-0.012,-0.028,
1986,5,0.022,-0.020,-0.012,-0.028,
1986,6,-0.004,-0.020,-0.012,-0.028,
1986,7,0.031,-0.020,-0.012,-0.028,
1986,8,0.010,-0.020,-0.012,-0.028,
1986,9,-0.004,-0.019,-0.011,-0.027,
1986,10,0.023,-0.019,-0.011,-0.027,
1986,11,-0.030,-0.019,-0.011,-0.027,
1986,12,-0.034,-0.019,-0.011,-0.027,
1987,1,0.052,-0.019,-0.012,-0.026,
1987,2,-0.019,-0.018,-0.011,-0.025,
1987,3,0.036,-0.018,-0.011,-0.025,
1987,4,-0.002,-0.018,-0.011,-0.025,
1987,5,-0.054,-0.018,-0.011,-0.025,
1987,6,-0.007,-0.018,-0.011,-0.025,
1987,7,-0.008,-0.017,-0.010,-0.024,
1987,8,0.004,-0.017,-0.010,-0.024,
1987,9,-0.010,-0.017,-0.010,-0.024,
1987,10,-0.038,-0.017,-0.010,-0.024,
1987,11,-0.048,-0.017,-0.010,-0.024,
1987,12,0.067,-0.016,-0.009,-0.023,
1988,1,-0.051,-0.016,-0.009,-0.023,
1988,2,0.002,-0.016,-0.009,-0.023,
1988,3,-0.037,-0.016,-0.009,-0.023,
1988,4,0.065,-0.016,-0.009,-0.023,
1988,5,-0.048,-0.015,-0.008,-0.022,
1988,6,0.008,-0.015,-0.008,-0.022,
1988,7,-0.057,-0.015,-0.008,-0.022,
1988,8,-0.021,-0.015,-0.008,-0.022,
1988,9,-0.028,-0.015,-0.008,-0.022,
1988,10,-0.016,-0.014,-0.007,-0.021,
1988,11,-0.018,-0.014,-0.007,-0.021,
1988,12,-0.034,-0.014,-0.007,-0.021,
1989,1,-0.018,-0.014,-0.007,-0.021,
1989,2,-0.065,-0.014,-0.007,-0.021,
1989,3,-0.098,-0.013,-0.006,-0.020,
1989,4,-0.066,-0.013,-0.006,-0.020,
1989,5,-0.036,-0.013,-0.006,-0.020,
1989,6,-0.032,-0.013,-0.006,-0.020,
1989,7,-0.048,-0.013,-0.006,-0.020,
1989,8,-0.015,-0.013,-0.006,-0.020,
1989,9,-0.040,-0.012,-0.005,-0.019,
1989,10,-0.047,-0.012,-0.005,-0.019,
1989,11,-0.008,-0.012,-0.006,-0.018,
1989,12,-0.074,-0.012,-0.006,-0.018,
1990,1,-0.057,-0.012,-0.006,-0.018,
1990,2,-0.053,-0.011,-0.005,-0.017,
1990,3,-0.089,-0.011,-0.005,-0.017,
1990,4,-0.085,-0.011,-0.005,-0.017,
1990,5,-0.008,-0.011,-0.005,-0.017,
1990,6,-0.022,-0.011,-0.005,-0.017,
1990,7,-0.014,-0.010,-0.004,-0.016,
1990,8,-0.012,-0.010,-0.004,-0.016,
1990,9,-0.007,-0.010,-0.004,-0.016,
1990,10,-0.007,-0.010,-0.004,-0.016,
1990,11,0.013,-0.010,-0.004,-0.016,
1990,12,-0.040,-0.009,-0.003,-0.015,
1991,1,-0.015,-0.009,-0.003,-0.015,
1991,2,0.002,-0.009,-0.003,-0.015,
1991,3,0.081,-0.009,-0.003,-0.015,
1991,4,-0.024,-0.009,-0.003,-0.015,
1991,5,0.001,-0.008,-0.002,-0.014,
1991,6,0.020,-0.008,-0.002,-0.014,
1991,7,0.004,-0.008,-0.002,-0.014,
1991,8,-0.012,-0.008,-0.002,-0.014,
1991,9,-0.028,-0.008,-0.002,-0.014,
1991,10,-0.007,-0.007,-0.001,-0.013,
1991,11,-0.008,-0.007,-0.001,-0.013,
1991,12,-0.004,-0.007,-0.001,-0.013,
1992,1,0.049,-0.007,-0.001,-0.013,
1992,2,0.039,-0.007,-0.001,-0.013,
1992,3,0.036,-0.006,0.000,-0.012,
1992,4,0.001,-0.006,0.000,-0.012,
1992,5,-0.057,-0.006,0.000,-0.012,
1992,6,0.020,-0.006,0.000,-0.012,
1992,7,0.007,-0.006,0.000,-0.012,
1992,8,-0.018,-0.006,0.000,-0.012,
1992,9,-0.068,-0.005,0.001,-0.011,
1992,10,-0.016,-0.005,0.001,-0.011,
